Average npc score: 16.739212036132812
Agent
Epoch	Score	Loss
0	18	0.0
1	35	0.0
2	19	0.0
3	23	0.0
4	29	0.0
5	29	0.0
6	27	0.0
7	28	0.0
8	18	0.0
9	25	0.0
10	20	0.0
11	26	0.0
12	9	0.0
13	39	0.0
14	32	0.0
15	22	0.0
16	25	0.0
17	23	0.0
18	47	0.0
19	34	0.0
20	41	0.0
21	31	0.0
22	36	0.0
23	27	0.0
24	26	0.0
25	17	0.0
26	22	0.0
27	25	0.0
28	18	0.0
29	12	0.0
30	11	0.0
31	18	0.0
32	14	0.0
33	19	0.0
34	17	0.0
35	30	0.0
36	30	0.0
37	48	0.0
38	32	0.0
39	17	0.0
40	32	0.0
41	33	0.0
42	16	0.0
43	25	0.0
44	20	0.0
45	13	0.0
46	21	0.0
47	44	0.0
48	9	0.0
49	30	0.0
50	10	0.0
51	39	0.0
52	10	0.0
53	36	0.0
54	15	0.0
55	7	0.0
56	18	0.0
57	27	0.0
58	28	0.0
59	24	0.0
60	21	0.0
61	30	0.0
62	30	0.0
63	18	0.0
64	21	0.0
65	15	0.0
66	23	0.0
67	49	0.0
68	29	0.0
69	23	0.0
70	24	0.0
71	17	0.0
72	17	0.0
73	26	0.0
74	26	0.0
75	35	0.0
76	12	0.0
77	38	0.0
78	27	0.0
79	17	0.0
80	36	0.0
81	18	0.0
82	31	0.0
83	11	0.0
84	26	0.0
85	26	0.0
86	16	0.0
87	24	0.0
88	24	0.0
89	28	0.0
90	41	0.0
91	34	0.0
92	54	0.0
93	20	0.0
94	23	0.0
95	28	0.0
96	14	0.0
97	8	0.0
98	28	0.0
99	34	0.0
100	16	0.0
101	23	0.0
102	14	0.0
103	18	0.0
104	31	0.0
105	39	0.0
106	20	0.0
107	42	0.0
108	50	0.0
109	21	0.0
110	27	0.0
111	24	0.0
112	37	0.0
113	30	0.0
114	21	0.0
115	17	0.0
116	21	0.0
117	26	0.0
118	27	0.0
119	20	0.0
120	11	0.0
121	18	0.0
122	30	0.0
123	22	0.0
124	24	0.0
125	16	0.0
126	24	0.0
127	19	0.0
128	30	0.0
129	32	0.0
130	23	0.0
131	14	0.0
132	16	0.0
133	49	0.0
134	35	0.0
135	34	0.0
136	32	0.0
137	14	0.0
138	14	0.0
139	14	0.0
140	27	0.0
141	24	0.0
142	27	0.0
143	27	0.0
144	41	0.0
145	12	0.0
146	26	0.0
147	11	0.0
148	22	0.0
149	21	0.0
150	19	0.0
151	20	0.0
152	16	0.0
153	30	0.0
154	23	0.0
155	14	0.0
156	14	0.0
157	22	0.0
158	28	0.0
159	32	0.0
160	23	0.0
161	23	0.0
162	38	0.0
163	26	0.0
164	9	0.0
165	18	0.0
166	11	0.0
167	22	0.0
168	31	0.0
169	29	0.0
170	20	0.0
171	20	0.0
172	17	0.0
173	27	0.0
174	14	0.0
175	23	0.0
176	33	0.0
177	23	0.0
178	14	0.0
179	13	0.0
180	31	0.0
181	15	0.0
182	15	0.0
183	17	0.0
184	44	0.0
185	18	0.0
186	23	0.0
187	20	0.0
188	14	0.0
189	19	0.0
190	22	0.0
191	29	0.0
192	17	0.0
193	17	0.0
194	20	0.0
195	14	0.0
196	9	0.0
197	27	0.0
198	54	0.0
199	32	0.0
200	16	0.0
201	27	0.0
202	27	0.0
203	19	0.0
204	13	0.0
205	10	0.0
206	28	0.0
207	28	0.0
208	20	0.0
209	36	0.0
210	17	0.0
211	13	0.0
212	39	0.0
213	28	0.0
214	27	0.0
215	28	0.0
216	27	0.0
217	27	0.0
218	26	0.0
219	44	0.0
220	15	0.0
221	22	0.0
222	9	0.0
223	33	0.0
224	8	0.0
225	14	0.0
226	26	0.0
227	15	0.0
228	26	0.0
229	13	0.0
230	25	0.0
231	19	0.0
232	30	0.0
233	36	0.0
234	15	0.0
235	30	0.0
236	34	0.0
237	30	0.0
238	28	0.0
239	23	0.0
240	51	0.0
241	26	0.0
242	15	0.0
243	8	0.0
244	29	0.0
245	25	0.0
246	27	0.0
247	18	0.0
248	21	0.0
249	29	0.0
250	39	0.0
251	38	0.0
252	24	0.0
253	26	0.0
254	27	0.0
255	29	0.0
256	19	0.0
257	12	0.0
258	25	0.0
259	13	0.0
260	10	0.0
261	27	0.0
262	21	0.0
263	12	0.0
264	41	0.0
265	29	0.0
266	26	0.0
267	37	0.0
268	21	0.0
269	22	0.0
270	30	0.0
271	20	0.0
272	23	0.0
273	16	0.0
274	18	0.0
275	21	0.0
276	29	0.0
277	27	0.0
278	25	0.0
279	4	0.0
280	42	0.0
281	31	0.0
282	26	0.0
283	17	0.0
284	23	0.0
285	27	0.0
286	20	0.0
287	38	0.0
288	33	0.0
289	39	0.0
290	11	0.0
291	45	0.0
292	21	0.0
293	25	0.0
294	32	0.0
295	19	0.0
296	30	0.0
297	17	0.0
298	26	0.0
299	33	0.0
300	14	0.0
301	17	0.0
302	20	0.0
303	43	0.0
304	25	0.0
305	15	0.0
306	24	0.0
307	7	0.0
308	19	0.0
309	15	0.0
310	21	0.0
311	16	0.0
312	20	0.0
313	15	0.0
314	14	0.0
315	30	0.0
316	18	0.0
317	44	0.0
318	24	0.0
319	18	0.0
320	12	0.0
321	29	0.0
322	17	0.0
323	38	0.0
324	33	0.0
325	9	0.0
326	21	0.0
327	34	0.0
328	25	0.0
329	22	0.0
330	14	0.0
331	16	0.0
332	20	0.0
333	26	0.0
334	25	0.0
335	16	0.0
336	18	0.0
337	22	0.0
