Average npc score: 15.581890106201172
Agent
Period	Score	Loss
0	0.3264380688114246	25.276
1	0.8565813429567884	30.141
2	0.7774539717083235	30.977
3	0.7787747838065252	31.141
4	0.733542664788047	31.655
5	0.7062309763590533	31.238
6	0.681003511924484	31.55
7	0.6540655105413664	31.008
8	0.668138797754212	31.988
9	0.6738344900849936	31.46
10	0.6647160198294879	31.534
11	0.6634040347028537	31.582
12	0.6497725069226387	32.094
13	0.6376394244904552	31.76
14	0.6365006345414402	31.561
15	0.6311889704660371	31.457
16	0.6492195593762284	31.361
17	0.632290129848533	31.696
18	0.6311052516910347	31.586
19	0.6437817048520008	31.78
